Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Fu, Kai",203245,"Zhengzhou University",academic,1,1,1.0,1.34,58574153700
"Fu, Luyan",203387,"Luoyang Normal University",academic,1,27,27.0,3.37,58245000900
"Gagnon, Graham A.",501007,"Dalhousie University",academic,1,1,1.0,1.72,7006675275
"Gao, Jihui",203076,"Harbin Institute of Technology",academic,1,36,36.0,2.76,15520604600
"Gosset, Jérôme",-,"CLIMICALS",-,1,11,11.0,0.94,59368476900
"Guo, Song",203212,"University of Science and Technology Beijing",academic,1,6,6.0,0.73,57670935700
"Guo, Ziyang",205002,"City University of Hong Kong",academic,1,1,1.0,1.39,58902333900
"Han, Sihai",203093,"Henan University of Science and Technology",academic,1,32,32.0,2.78,25930354300
"Han, Yonghui",203084,"Hebei University of Science and Technology",academic,1,12,12.0,0.53,57219267031
"Hao, Haiqing",-,"Grirem Advanced Materials Co., Ltd.",-,1,1,1.0,1.71,57190730378
"He, Chang",203047,"Chongqing University",academic,1,13,13.0,1.38,59225642300
"He, Chi",203223,"Xi'an Jiaotong University",academic,1,1,1.0,1.38,7402284742
"He, Huiqing",717064,"Zhongkai University of Agriculture and Engineering",academic,1,15,15.0,1.41,57204398147
"He, Lijuan",203073,"Guizhou University",academic,1,97,97.0,3.23,58198745200
"Hou, Lingyan",501052,"Western University",academic,1,11,11.0,0.94,59367677300
"Hu, Jiansheng",-,"Cardiovascular Key Laboratory of Zhejiang Province",-,1,2,2.0,0.23,59387797000
"Hu, Song",203091,"Henan Polytechnic University",academic,1,38,38.0,2.18,57224221641
"Huang, Rong",-,"Jiangxi Academy of Sciences",-,1,14,14.0,1.29,58548619800
"Huang, Yizheng",203270,"CAS - Dalian Institute of Chemical Physics",academic,1,8,8.0,1.06,7501575249
"Huang, Zujiang",-,"Zhejiang Academy of Special Equipment Science",-,1,2,2.0,0.23,59387917300
"Inui, Hideyuki",327028,"University of Lodz",academic,1,1,1.0,1.99,7102317837
"Jiang, Xuhong",717064,"Zhongkai University of Agriculture and Engineering",academic,1,15,15.0,1.41,26428789600
"Jiang, Yipei",501052,"Western University",academic,1,6,6.0,0.76,58221604100
"Jiang, Youfeng",-,"Kweichow Moutai Group",-,1,1,1.0,1.34,59560578900
"Jiang, Zhuoran",315091,"University of Oxford",academic,1,18,18.0,0.58,58192230400
"Jiao, Guangling",-,"AKSO Marine Biotech Inc.",-,1,1,1.0,1.72,26323215000
"Jing, Zhaoqian",203126,"Nanjing Forestry University",academic,1,0,0.0,0.00,35194076700
"Kang, Xiaorong",710549,"Nanjing Institute of Technology",academic,1,0,0.0,0.00,51161233300
"Kirpļuks, Miķelis",705267,"Latvian State Institute of Wood Chemistry",government,1,3,3.0,0.57,55758156700
"Kong, Qianqian",203037,"China University of Mining and Technology",academic,1,38,38.0,2.18,57340337400
"Krishnamurthi, Tamilarasan",703244,"SRM Institute of Science and Technology",academic,1,13,13.0,0.86,56765808700
"Lam, Jason Chun Ho",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,57193525410
"Lei, Zhiping",203007,"Anhui University of Technology",academic,1,20,20.0,1.53,14045415400
"Leitch, Mathew A.",501014,"Lakehead University",academic,1,49,49.0,0.88,7006992443
"Leu, Shao-Yuan",205004,"Hong Kong Polytechnic University",academic,1,5,5.0,2.71,57203804820
"Li, An",501035,"University of Alberta",academic,1,3,3.0,0.11,57194654660
"Li, Changle",203387,"Luoyang Normal University",academic,1,48,48.0,3.50,59840008600
"Li, Haiming",203007,"Anhui University of Technology",academic,1,14,14.0,4.53,57209854954
"Li, Hongji",203245,"Zhengzhou University",academic,1,17,17.0,1.26,57206827770
"Li, Hugang",203201,"Taiyuan University of Technology",academic,1,16,16.0,0.98,57197814216
"Li, Qingqing",203069,"Guangxi University",academic,1,2,2.0,0.48,59869558100
"Li, Shuting",501052,"Western University",academic,1,0,0.0,0.00,59908295400
"Li, Si",-,"Ltd.",-,1,1,1.0,0.19,59400663300
"Li, Weihong",205002,"City University of Hong Kong",academic,1,1,1.0,1.39,56374117400
"Li, Xiaodi",203047,"Chongqing University",academic,1,1,1.0,1.38,57318334600
"Li, Xinzhe",203223,"Xi'an Jiaotong University",academic,1,1,1.0,1.38,55943834700
"Li, Yuncong",203073,"Guizhou University",academic,1,51,51.0,1.07,57561714600
