Data set,"Authors collaborating with Wang, Wenxiong"
Entity,"Wang, Wenxiong"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Yang, Yuanting",703993,"Chinese Academy of Tropical Agricultural Sciences",academic,1,37,37.0,3.66,57223177175
"Ye, Canbin",203190,"South China University of Technology",academic,1,12,12.0,0.72,57210744786
"Yeung, Leo Wai Yin",332011,"Örebro University",academic,1,30,30.0,1.62,9735175200
"Yin, Bingxin",203188,"South China Agricultural University",academic,1,20,20.0,1.08,57415171800
"Yuan, Liuliang",203152,"Peking University",academic,1,9,9.0,0.70,57222864588
"Zafar, Ayesha",201019,"Royal Melbourne Institute of Technology University",academic,1,37,37.0,3.66,57188852331
"Zeng, Dandan",717064,"Zhongkai University of Agriculture and Engineering",academic,1,37,37.0,3.66,57219009955
"Zhang, Guofan",700714,"Chinese Academy of Sciences",government,1,25,25.0,2.69,7405273619
"Zhang, Hua",203276,"CAS - Institute of Geochemistry",academic,1,49,49.0,4.86,59448463600
"Zhang, Kai",704842,"Macau University of Science and Technology",academic,1,4,4.0,0.44,56637358000
"Zhang, Luqing",203243,"Zhejiang University",academic,1,11,11.0,0.94,56331521800
"Zhang, Lynn Hoi Lam",205005,"Hong Kong University of Science and Technology",academic,1,9,9.0,1.80,58022241900
"Zhang, Qingjun",203112,"Jinan University",academic,1,11,11.0,0.89,57221377140
"Zhang, Zhongyi",203213,"University of Science and Technology of China",academic,1,4,4.0,0.49,57189729496
"Zhao, Xiaoli",715088,"Chinese Research Academy of Environmental Sciences",academic,1,0,0.0,0.00,57207136429

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
